"Albanian", "sqi", "sq"
"Amharic", "amh", "am"
"Arabbic", "ara", "ar"
"Armenian", "hye", "hy"
"Assamese", "asm", "as"
"Azerbaijani", "aze", "az"
"Basque", "eus", "eu"
"Belarusian", "bel", "be"
"Bengali", "ben", "bn"
"Bosnian", "bos", "bs"
"Breton, "bre", "br"
"Bulgarian, "bul", "bg"
"Burmese, "mya", "my"
"Catalan", "cat", "ca"
"Chinese - Simplified", "chi_sim", "zh"
"Chinese - Simplified (Vertical)", "chi_sim_vert", "zh"
"Chinese - Traditional", "chi_tra", "zh"
"Chinese - Traditional (Vertical)", "chi_tra_vert", "zh"
"Corsican", "cos", "co"
"Croatian", "hrv", "hr"
"Czech", "ces", "cs"
"Danish", "dan", "da"
"Divehi", "div", "dv"
"Dutch", "nld", "nl"
"Dzongkha", "dzo", "dz"
"English", "eng", "en"
"English - Middle Ages", "enm", "en"
"Esperanto", "epo", "eo"
"Estonian", "est", "et"
"Faroese", "fao", "fo"
"Filipino (Tagalog)", "fil", "tl"
"Finnish", "fin", "fi"
"French", "fra", "fr"
"French - Middle Ages", "frm", "fr"
"Frisian - Western", "fry", "fy"
"Galician", "glg", "gl"
"Georgian", "kat", "ka"
"German", "deu", "de"
"Greek - Ancient", "grc", "el"
"Greek - Modern", "ell", "el"
"Gujarati", "guj", "gu"
"Haitian", "hat", "ht"
"Hebrew", "heb", "he"
"Hindi", "hin", "hi"
"Hungarian", "hun", "hu"
"Icelandic", "isl", "is"
"Indonesian", "ind", "id"
"Inukitut", "iku", "iu"
"Irish", "gle", "ga"
"Italian", "ita", "it"
"Japanese", "jpn", "ja"
"Japanese (Vertical)", "jpn_vert", "ja"
"Javanese", "jav", "jv"
"Kannada", "kan", "kn"
"Kazakh", "kaz", "kk"
"Khmer", "khm", "km"
"Kirghiz", "kir", "ky"
"Korean", "kor", "ko"
"Lao", "lao", "lo"
"Latin", "lat", "la"
"Latvian", "lav", "lv"
"Lithuanian", "lit", "lt"
"Luxembourgish", "ltz", "lb"
"Macedonian", "mkd", "mk"
"Malay", "msa", "ms"
"Malayalam", "mal", "ml"
"Maltese", "mlt", "mt"
"Maori", "mri", "mi"
"Marathi", "mar", "mr"
"Mongolian", "mon", "mn"
"Nepali", "nep", "ne"
"Norwegian", "nor", "no"
"Occitan", "oci", "oc"
"Oriya", "ori", "or"
"Panjabi", "pan", "pa"
"Persian", "fas", "fa"
"Polish", "pol", "pl"
"Portuguese", "por", "pt"
"Pushto", "pus", "ps"
"Quecha", "que", "qu"
"Romanian", "ron", "ro"
"Russian", "rus", "ru"
"Sanskrit", "san", "sa"
"Scottish Gaelic", "gla", "gd"
"Serbian", "srp", "sr"
"Sindhi", "snd", "sd"
"Sinhala", "sin", "si"
"Slovak", "slk", "sk"
"Slovenian", "slv", "sl"
"Spanish", "spa", "es"
"Sundanese", "sun", "su"
"Swahili", "swa", "sw"
"Swedish", "swe", "sv"
"Tajik", "tgk", "tg"
"Tamil", "tam", "ta"
"Tatar", "tat", "tt"
"Telugu", "tel", "te"
"Thai", "tha", "th"
"Tibetan", "bod", "bo"
"Tigrinya", "tir", "ti"
"Tonga", "ton", "to"
"Turkish", "tur", "tr"
"Uighur", "uig", "ug"
"Ukranian", "ukr", "uk"
"Urdu", "urd", "ur"
"Uzbek", "uzb", "uz"
"Vietnamese", "vie", "vi"
"Welsh", "cym", "cy"
"Yiddish", "yid", "yi"
"Yoruba", "yor", "yo"
